wkey_count            tot_cap                         n_name            
    16                 32336                      UNITED STATES         
    14                 28294                          CHINA             
    14                 28294                        MOZAMBIQUE          
    12                 24252                          EGYPT             
    12                 24252                          KENYA             
    12                 24252                         VIETNAM            
    10                 20210                         GERMANY            
    10                 20210                          INDIA             
    10                 20210                        INDONESIA           
    10                 20210                         ROMANIA            
    10                 20210                          RUSSIA            
    8                  16168                          JAPAN             
    8                  16168                           PERU             
    6                  12126                         ALGERIA            
    6                  12126                        ARGENTINA           
    6                  12126                          CANADA            
    6                  12126                         ETHIOPIA           
    6                  12126                      UNITED KINGDOM        
    4                   8084                          BRAZIL            
    4                   8084                          FRANCE            
    4                   8084                           IRAN             
    4                   8084                           IRAQ             
    4                   8084                         MOROCCO            
    2                   4042                          JORDAN            
    2                   4042                       SAUDI ARABIA         
