       w_name                  w_capacity          
Supplier#000000011___CHINA         2021        
Supplier#000000011___CHINA         2021        
Supplier#000000012___INDIA         2021        
Supplier#000000012___INDIA         2021        
Supplier#000000015___INDIA         2021        
Supplier#000000015___INDIA         2021        
Supplier#000000023___INDONESIA         2021        
Supplier#000000023___INDONESIA         2021        
Supplier#000000026___VIETNAM         2021        
Supplier#000000026___VIETNAM         2021        
Supplier#000000027___CHINA         2021        
Supplier#000000027___CHINA         2021        
Supplier#000000035___VIETNAM         2021        
Supplier#000000035___VIETNAM         2021        
Supplier#000000039___INDIA         2021        
Supplier#000000039___INDIA         2021        
Supplier#000000041___CHINA         2021        
Supplier#000000041___CHINA         2021        
Supplier#000000043___JAPAN         2021        
Supplier#000000043___JAPAN         2021        
Supplier#000000045___INDONESIA         2021        
Supplier#000000045___INDONESIA         2021        
Supplier#000000050___INDONESIA         2021        
Supplier#000000050___INDONESIA         2021        
Supplier#000000051___INDONESIA         2021        
Supplier#000000051___INDONESIA         2021        
Supplier#000000054___JAPAN         2021        
Supplier#000000054___JAPAN         2021        
Supplier#000000060___INDIA         2021        
Supplier#000000060___INDIA         2021        
Supplier#000000061___INDIA         2021        
Supplier#000000061___INDIA         2021        
Supplier#000000068___VIETNAM         2021        
Supplier#000000068___VIETNAM         2021        
Supplier#000000072___CHINA         2021        
Supplier#000000072___CHINA         2021        
Supplier#000000075___CHINA         2021        
Supplier#000000075___CHINA         2021        
Supplier#000000080___VIETNAM         2021        
Supplier#000000080___VIETNAM         2021        
Supplier#000000081___JAPAN         2021        
Supplier#000000081___JAPAN         2021        
Supplier#000000082___CHINA         2021        
Supplier#000000082___CHINA         2021        
Supplier#000000089___INDONESIA         2021        
Supplier#000000089___INDONESIA         2021        
Supplier#000000096___JAPAN         2021        
Supplier#000000096___JAPAN         2021        
Supplier#000000098___VIETNAM         2021        
Supplier#000000098___VIETNAM         2021        
Supplier#000000099___CHINA         2021        
Supplier#000000099___CHINA         2021        
Supplier#000000100___VIETNAM         2021        
Supplier#000000100___VIETNAM         2021        
